avggift,lastgife,pgift,ampergift,response
4.07,5,0.23,4.6,1
6.18,7,0.46,7.25,1
4.86,5,0.28,5.2,1
11,10,0.2,13.8,1
9.4,12,0.22,10.6,1
4.29,5,0.22,4.8,1
25,25,0.07,25,1
11.67,10,0.12,11.67,1
7.3,10,0.26,7.5,1
10.69,20,0.28,16.67,1
9.58,7,0.34,8.4,1
9,10,0.14,12.5,1
10.25,13,0.15,14,1
14.11,7,0.15,30,1
13.5,21,0.16,21,1
4.25,5,0.6,5.57,1
20,20,0.07,20,1
8.62,13,0.24,10,1
6,7,0.27,6.88,1
3.66,3,0.6,3.91,1
9,11,0.45,10.75,1
15,15,0.09,17.5,1
14.56,25,0.14,21.67,1
8.22,10,0.27,10,1
6.2,7,0.19,6.75,1
11.5,20,0.11,15,1
15,15,0.08,15,1
23.75,50,0.09,37.5,1
13.25,15,0.15,0,1
5.25,10,0.21,6,1
9.06,14,0.26,10.8,1
15,15,0.14,15,1
8,10,0.2,8.5,1
5.73,3,0.2,7.67,1
14.33,17,0.19,15.67,1
12.88,25,0.11,25,1
13,20,0.1,16,1
3.66,3,0.39,3.25,1
4.34,7,0.3,5.4,1
20,25,0.1,17.5,1
16.5,20,0.08,16.5,1
9.09,10,0.18,10,1
15.83,18,0.13,18,1
31.75,42,0.08,42,1
13.6,10,0.42,20.33,1
3.63,5,0.39,4,1
8.83,5,0.16,12.67,1
6.5,5,0.15,8,1
15,15,0.14,15,1
14.29,15,0.19,15.83,1
27.5,25,0.06,30,1
17.5,13,0.2,20.5,1
11.36,20,0.17,20,1
11.9,20,0.19,13.4,1
15,15,0.07,15,1
7.7,15,0.34,14,1
10.06,10,0.32,12,1
9.73,1.58E+01,0.18,15.19,1
8.53,13,0.22,12,1
8.29,10,0.22,10.4,1
6.34,5,0.36,6.27,1
8,14,0.26,12,1
9.86,12,0.19,11.4,1
13.46,15,0.27,19,1
9.44,20,0.14,20,1
9.79,10,0.22,12,1
5.17,10,0.21,5.4,1
25,25,0.07,25,1
4.72,5,0.36,5,1
10.04,10,0.29,10,1
16.5,15,0.14,18.33,1
10.25,15,0.17,10.25,1
50,50,0.06,50,1
2.26,2,0.36,2.8,1
13,16,0.08,16,1
