avggift,lastgife,pgift,ampergift,response
7.74,10,0.42,10.43,0
15.67,25,0.09,18.5,0
7.48,5,0.43,8.29,0
6.81,10,0.24,9.29,0
6.86,15,0.33,12.5,0
12.75,15,0.11,13.67,0
7.64,11,0.22,11.5,0
6.2,11,0.14,6.5,0
18.09,22,0.16,22,0
9.33,15,0.11,15,0
20,20,0.07,20,0
12.5,10,0.12,10,0
5.33,6,0.16,4.75,0
20.42,25,0.17,35,0
10.57,15,0.17,14.67,0
12.5,15,0.07,15,0
12.33,15,0.1,13.5,0
25,45,0.08,45,0
8.1,15,0.2,12,0
15,15,0.08,15,0
4.07,5,0.23,4.6,1
25,25,0.06,25,0
26.67,30,0.2,30,0
8.31,9,0.32,11,0
9,10,0.15,9,0
17.83,15,0.1,15,0
50,50,0.08,50,0
8.88,10,0.18,11.67,0
8.5,10,0.2,11.5,0
8.14,9,0.13,9.33,0
6.18,7,0.46,7.25,1
20,20,0.1,20,0
20,25,0.09,15,0
16.92,20,0.22,16.67,0
17.22,15,0.17,20,0
12.31,14,0.29,12.8,0
25,25,0.07,0,0
16.17,27,0.22,27.33,0
12,15,0.14,14,0
9.4,30,0.15,27.5,0
22.91,25,0.22,29.2,0
9.82,10,0.15,10,0
15,20,0.1,15,0
17,22,0.09,21,0
11.66,5,0.28,11.36,0
4.86,5,0.28,5.2,1
7.69,10,0.24,10,0
11.38,15,0.17,14.5,0
7.36,15,0.21,8.5,0
21,22,0.09,21,0
9.82,10,0.24,14,0
14.57,16,0.13,16,0
10.64,9,0.19,9,0
10.42,12,0.18,9,0
9.8,18,0.14,18,0
16,20,0.12,32,0
9.17,10,0.24,10,0
13.33,20,0.09,15,0
11,15,0.16,12.5,0
8.75,20,0.12,10,0
23,23,0.07,23,0
15,15,0.08,15,0
9.11,15,0.22,11.25,0
7.86,15,0.14,13,0
20,20,0.07,0,0
5.83,7,0.23,6.4,0
15.91,25,0.25,27.5,0
6.83,10,0.21,8,0
30,30,0.07,30,0
16.67,25,0.11,18.33,0
3.5,6,0.44,4.43,0
19.19,25,0.2,20,0
20,20,0.06,20,0
15,20,0.09,15,0
6.18,8,0.21,8.89,0
10.93,13,0.19,15.25,0
27.5,30,0.08,27.5,0
9.36,10,0.16,10,0
11,10,0.2,13.8,1
8,15,0.25,15,0
20,30,0.11,30,0
9.2,15,0.11,15,0
8.75,10,0.19,8.33,0
15,15,0.08,15,0
9.57,15,0.13,15,0
11.67,15,0.09,12.5,0
11.22,20,0.16,17.33,0
18.25,18,0.08,0,0
50,50,0.07,50,0
18,31,0.19,25.2,0
25,25,0.08,25,0
9.77,15,0.21,15,0
4.43,4,0.24,4.5,0
9.4,12,0.22,10.6,1
6.44,10,0.28,8.67,0
6.78,11,0.32,11,0
10.57,15,0.18,11.5,0
6.65,5,0.3,5.83,0
6.25,10,0.19,10,0
20,20,0.07,20,0
13.1,20,0.24,20,0
4.29,5,0.22,4.8,1
14.8,25,0.27,25,0
9.77,6,0.19,10,0
13.67,25,0.1,25,0
24,27,0.11,24,0
4.43,6,0.21,5,0
37.78,100,0.16,66.67,0
10.33,15,0.09,10.33,0
24,25,0.09,25,0
8.62,10,0.27,10,0
15.67,22,0.08,21,0
15,15,0.08,15,0
18.73,25,0.17,25.33,0
9,15,0.1,11,0
25,25,0.07,25,1
16.33,31,0.24,26.6,0
8.33,10,0.13,8.33,0
41.42,45,0.28,45,0
11,10,0.18,11,0
9.5,10,0.21,9.5,0
8.62,15,0.16,11.33,0
5.06,5,0.3,5.57,0
15,15,0.06,15,0
7.52,12,0.24,10.4,0
32.5,40,0.25,40,0
11.67,10,0.12,11.67,1
7.27,15,0.18,15,0
6.4,6,0.19,6.75,0
25,25,0.07,25,0
12.2,15,0.12,15,0
11.23,10,0.2,8.33,0
14.57,21,0.19,20.5,0
23.5,15,0.08,29.5,0
12.5,30,0.13,15,0
14.56,20,0.16,20,0
10.6,21,0.12,21,0
10.43,10,0.16,11.4,0
43.75,46,0.15,38.33,0
15.11,27,0.15,24,0
16,22,0.08,19,0
16,20,0.3,17.5,0
7.08,8,0.27,8.8,0
9.67,15,0.16,15,0
11.65,10,0.29,14.25,0
15,32,0.13,10.5,0
15.4,20,0.12,17.33,0
12.22,20,0.14,22.5,0
51,52,0.08,51,0
5.29,6,0.23,5.6,0
7.67,11,0.15,7.67,0
15,20,0.1,15,0
7.82,7,0.19,10.25,0
17.5,25,0.07,17.5,0
16.83,29,0.1,29,0
24.5,30,0.13,27.5,0
12.42,20,0.26,25,0
8.6,13,0.14,12,0
8.31,16,0.24,15,0
15.67,22,0.09,21,0
18.88,20,0.2,22,0
10.44,10,0.44,11,0
7.25,15,0.2,15,0
4.32,10,0.3,6.67,0
7.33,7,0.38,7.25,0
11.89,11,0.16,9.67,0
8.42,20,0.27,9.5,0
15,15,0.08,15,0
23,23,0.07,23,0
6.58,10,0.34,7.5,0
12.5,15,0.1,12.5,0
12.33,15,0.12,12.33,0
4.56,6,0.26,4.56,0
25,25,0.07,25,0
15.88,14,0.2,13.75,0
31.75,37,0.08,37,0
8.78,10,0.13,14,0
15,15,0.11,15,0
23,23,0.08,23,0
10.33,15,0.1,15,0
14,20,0.11,0,0
15,20,0.13,15,0
6.67,10,0.14,8,0
20,20,0.1,20,0
10,15,0.13,10,0
75,100,0.08,62.5,0
7.19,11,0.24,11,0
50,50,0.07,50,0
13,6,0.14,20,0
25,25,0.05,25,0
5.08,6,0.23,5.88,0
10.5,20,0.11,20,0
7.3,10,0.26,7.5,1
15,20,0.09,15,0
10,15,0.11,10,0
25,25,0.07,25,0
25,25,0.06,25,0
5.77,6,0.25,6,0
6.55,10,0.37,8,0
8.75,10,0.17,8.75,0
10.67,12,0.15,11,0
4.47,5,0.45,5.36,0
11.67,10,0.12,11.67,0
10.69,20,0.28,16.67,1
19.75,38,0.18,39,0
17,21,0.21,20.2,0
9.75,15,0.16,12.75,0
14.78,25,0.14,0,0
12.62,25,0.18,20,0
12.5,15,0.11,15,0
12,20,0.18,15,0
13.25,19,0.15,19,0
11.75,17,0.1,16,0
9.58,7,0.34,8.4,1
12.43,18,0.13,18,0
13.67,21,0.12,13.67,0
17.5,20,0.1,17.5,0
12,25,0.18,12.75,0
8,10,0.18,8,0
5.8,6,0.22,5.67,0
12.17,15,0.16,12,0
15,20,0.09,15,0
6.12,10,0.27,9.5,0
15,15,0.13,17.5,0
15,15,0.08,15,0
