avggift,lastgife,pgift,ampergift,response
15.33,15,0.14,26.50,0
15.00,20,0.10,15.00,0
24.44,25,0.15,0.00,0
13.67,19,0.09,18.00,0
5.75,10,0.17,6.60,0
16.88,0,0.10,0.00,0
20.00,20,0.07,20.00,0
2.89,5,0.44,3.80,0
9.60,10,0.20,9.33,0
15.00,15,0.08,15.00,0
13.20,15,0.14,15.00,0
9.22,17,0.18,14.00,0
18.33,20,0.11,18.33,0
27.33,20,0.36,25.83,0
11.67,20,0.09,20.00,0
20.00,20,0.08,0.00,0
19.48,0,0.36,30.00,0
12.33,15,0.09,13.50,0
13.00,16,0.09,13.00,0
20.00,20,0.07,0.00,0
10.90,15,0.15,10.00,0
20.00,20,0.07,20.00,0
15.00,25,0.09,25.00,0
15.00,15,0.07,15.00,0
9.40,20,0.18,17.33,0
10.10,13,0.20,10.67,0
8.35,11,0.26,10.50,0
15.33,24,0.08,18.00,0
15.83,22,0.18,21.00,0
17.56,19,0.17,19.00,0
35.00,45,0.09,42.50,0
8.21,10,0.24,12.00,0
15.00,15,0.08,15.00,0
17.50,25,0.08,17.50,0
8.38,10,0.23,10.00,0
25.00,25,0.08,25.00,0
12.00,20,0.10,15.00,0
25.00,25,0.07,25.00,0
18.33,15,0.09,15.00,0
13.00,10,0.12,13.33,0
18.33,20,0.26,20.71,0
10.00,10,0.21,11.00,0
4.88,5,0.24,5.00,0
23.75,25,0.13,21.67,0
11.54,2,0.21,17.20,0
12.00,16,0.17,12.50,0
16.00,20,0.10,19.00,0
15.29,20,0.15,20.00,0
7.87,12,0.25,11.00,0
10.40,20,0.14,13.33,0
5.83,4,0.27,6.00,0
6.44,20,0.16,15.00,0
10.33,13,0.27,11.60,0
11.12,15,0.16,13.75,0
9.00,12,0.16,11.33,0
6.26,5,0.25,7.00,0
16.52,25,0.26,25.00,0
26.94,25,0.24,28.75,0
9.29,15,0.12,14.00,0
7.00,5,0.20,8.00,0
23.75,30,0.08,30.00,0
17.38,20,0.12,23.00,0
18.00,25,0.15,25.00,0
13.17,22,0.12,22.00,0
20.56,20,0.16,21.67,0
23.00,23,0.15,22.00,0
8.71,15,0.13,13.50,0
25.00,25,0.08,25.00,0
5.30,5,0.23,5.00,0
17.69,20,0.26,19.00,0
4.55,5,0.32,5.00,0
11.80,20,0.18,11.80,0
16.67,35,0.10,16.67,0
22.00,30,0.11,26.67,0
7.00,10,0.26,10.00,0
11.00,14,0.14,12.50,0
17.83,25,0.24,27.00,0
71.74,25,0.09,21.67,0
9.75,15,0.18,15.00,0
9.53,10,0.23,14.00,0
9.67,15,0.11,9.67,0
11.67,20,0.10,20.00,0
28.00,28,0.07,28.00,0
12.20,15,0.10,15.00,0
17.50,30,0.10,17.50,0
8.53,15,0.19,15.00,0
4.03,10,0.37,7.20,0
10.29,15,0.19,13.67,0
20.00,20,0.08,20.00,0
11.33,16,0.25,13.20,0
23.33,25,0.08,25.00,0
9.95,12,0.57,11.78,0
15.00,10,0.29,18.33,0
10.20,15,0.18,13.50,0
25.00,25,0.08,25.00,0
5.08,5,0.25,4.67,0
15.53,25,0.25,18.12,0
4.85,5,0.25,5.29,0
10.50,16,0.16,13.00,0
17.50,25,0.11,17.50,0
16.00,12,0.12,20.00,0
22.00,30,0.11,30.00,0
10.00,5,0.15,10.00,0
20.00,20,0.08,20.00,0
7.88,7,0.32,7.57,0
12.75,15,0.12,15.33,0
11.43,25,0.27,12.33,0
